도서관코드,도서관명,구분,시도,시군구
127010,더불어 숲,공공(일반),대구,북구
111529,제3의시간,공공(일반),서울,종로구
141544,가람도서관,공공(일반),경기,파주시
111453,가양도서관,공공(일반),서울,강서구
111108,가온도서관,공공(일반),서울,중구
125004,갈마도서관,공공(일반),대전,서구
141656,갈매도서관,공공(일반),경기,구리시
111463,갈산도서관,공공(일반),서울,양천구
128040,갈산도서관,공공(일반),인천,부평구
143124,감곡도서관,공공(일반),충북,음성군
141051,감골도서관,공공(일반),경기,안산시
147042,감포도서관,공공(일반),경북,경주시
143128,강내도서관,공공(일반),충북,청주시
111216,개봉도서관,공공(일반),서울,구로구
111049,거마도서관,공공(일반),서울,송파구
128001,검단도서관,공공(일반),인천,서구
128102,검암도서관,공공(일반),인천,서구
147168,경북도서관,공공(일반),경북,예천군
144042,계룡도서관,공공(일반),충남,계룡시
141323,고읍도서관,공공(일반),경기,양주시
142046,관전도서관,공공(일반),강원,철원군
130023,관평도서관,공공(일반),대전,유성구
141664,광남도서관,공공(일반),경기,광주시
141080,광명도서관,공공(일반),경기,광명시
141581,광적도서관,공공(일반),경기,양주시
126165,교리도서관,공공(일반),부산,기장군
141156,교하도서관,공공(일반),경기,파주시
130022,구암도서관,공공(일반),대전,유성구
125013,구즉도서관,공공(일반),대전,유성구
111500,글빛도서관,공공(일반),서울,성북구
126152,금곡도서관,공공(일반),부산,북구
141615,금사도서관,공공(일반),경기,여주시
126163,금샘도서관,공공(일반),부산,금정구
121018,금정도서관,공공(일반),부산,금정구
121026,기장도서관,공공(일반),부산,기장군
128061,꿈벗도서관,공공(일반),인천,중구
121019,남구도서관,공공(일반),부산,남구
142119,남면도서관,공공(일반),강원,홍천군
131082,남목도서관,공공(일반),울산,동구
141599,남사도서관,공공(일반),경기,용인시
128037,내가도서관,공공(일반),인천,강화군
148037,내서도서관,공공(일반),경남,창원시
130012,노은도서관,공공(일반),대전,유성구
741042,논골도서관,공공(일반),경기,성남시
111070,논현도서관,공공(일반),서울,강남구
141576,능평도서관,공공(일반),경기,광주시
126023,다대도서관,공공(일반),부산,사하구
147167,다산도서관,공공(일반),경북,고령군
147044,단석도서관,공공(일반),경북,경주시
111083,대림도서관,공공(일반),서울,영등포구
141563,대부도서관,공공(일반),경기,안산시
141600,대신도서관,공공(일반),경기,여주시
111039,대치도서관,공공(일반),서울,강남구
141545,덕계도서관,공공(일반),경기,양주시
141037,덕정도서관,공공(일반),경기,양주시
121021,동구도서관,공공(일반),부산,동구
149009,동녘도서관,공공(일반),제주,제주시
148050,동부도서관,공공(일반),경남,창원시
128023,동양도서관,공공(일반),인천,계양구
141668,동천도서관,공공(일반),경기,용인시
130006,둔산도서관,공공(일반),대전,서구
111309,등빛도서관,공공(일반),서울,강서구
121023,만덕도서관,공공(일반),부산,북구
141659,만선도서관,공공(일반),경기,광주시
341155,만화도서관,공공(일반),경기,부천시
121091,망미도서관,공공(일반),부산,수영구
131079,매곡도서관,공공(일반),울산,북구
143019,매포도서관,공공(일반),충북,단양군
148237,명곡도서관,공공(일반),경남,창원시
145005,명봉도서관,공공(일반),전북,정읍시
142059,모루도서관,공공(일반),강원,강릉시
111479,못골도서관,공공(일반),서울,강남구
111111,문래도서관,공공(일반),서울,영등포구
111480,미감도서관,공공(일반),서울,양천구
121022,반여도서관,공공(일반),부산,해운대구
141188,반월도서관,공공(일반),경기,안산시
111236,방배도서관,공공(일반),서울,서초구
128006,백령도서관,공공(일반),인천,옹진군
141568,별빛도서관,공공(일반),경기,남양주시
141390,보라도서관,공공(일반),경기,용인시
141482,본오도서관,공공(일반),경기,안산시
143021,봉양도서관,공공(일반),충북,제천시
128057,부개도서관,공공(일반),인천,부평구
126157,부산도서관,공공(일반),부산,사상구
147127,북삼도서관,공공(일반),경북,칠곡군
111485,불암도서관,공공(일반),서울,노원구
127094,비원도서관,공공(일반),대구,서구
121025,사상도서관,공공(일반),부산,사상구
145151,산들도서관,공공(일반),전북,군산시
743102,산책도서관,공공(일반),충북,제천시
128056,삼산도서관,공공(일반),인천,부평구
143134,삼성도서관,공공(일반),충북,음성군
146047,삼호도서관,공공(일반),전남,영암군
111307,상계도서관,공공(일반),서울,노원구
148051,상남도서관,공공(일반),경남,창원시
129222,상록도서관,공공(일반),광주,서구
141556,상현도서관,공공(일반),경기,용인시
122012,새벗도서관,공공(일반),대구,달서구
141643,서농도서관,공공(일반),경기,용인시
142116,서석도서관,공공(일반),강원,홍천군
128012,서운도서관,공공(일반),인천,계양구
111314,서울도서관,공공(일반),서울,중구
111466,서이도서관,공공(일반),서울,서초구
128050,서창도서관,공공(일반),인천,남동구
128008,석남도서관,공공(일반),인천,서구
130030,석봉도서관,공공(일반),대전,대덕구
147134,석적도서관,공공(일반),경북,칠곡군
141554,선부도서관,공공(일반),경기,안산시
111121,선유도서관,공공(일반),서울,영등포구
145122,설림도서관,공공(일반),전북,군산시
141646,성복도서관,공공(일반),경기,용인시
148120,성산도서관,공공(일반),경남,창원시
141054,세종도서관,공공(일반),경기,여주시
128049,소래도서관,공공(일반),인천,남동구
142041,소양도서관,공공(일반),강원,춘천시
141561,소하도서관,공공(일반),경기,광명시
128051,송림도서관,공공(일반),인천,동구
149003,송악도서관,공공(일반),제주,서귀포시
130013,송촌도서관,공공(일반),대전,대덕구
147120,송화도서관,공공(일반),경북,경주시
141481,수암도서관,공공(일반),경기,안산시
129001,신가도서관,공공(일반),광주,광산구
128055,신석도서관,공공(일반),인천,서구
129227,신용도서관,공공(일반),광주,북구
128024,심곡도서관,공공(일반),인천,서구
145131,아중도서관,공공(일반),전북,전주시
327015,아트도서관,공공(일반),대구,달성군
125005,안산도서관,공공(일반),대전,대덕구
149011,애월도서관,공공(일반),제주,제주시
111107,약수도서관,공공(일반),서울,동작구
141647,양벌도서관,공공(일반),경기,광주시
129225,양산도서관,공공(일반),광주,북구
141174,양산도서관,공공(일반),경기,오산시
141011,양평도서관,공공(일반),경기,양평군
144066,엄사도서관,공공(일반),충남,계룡시
141331,여주도서관,공공(일반),경기,여주시
111103,역삼도서관,공공(일반),서울,강남구
141613,연서도서관,공공(일반),경기,광명시
126143,연제도서관,공공(일반),부산,연제구
141117,연천도서관,공공(일반),경기,연천군
711265,열린도서관,공공(일반),서울,강남구
141663,영덕도서관,공공(일반),경기,용인시
121014,영도도서관,공공(일반),부산,영도구
146029,영암도서관,공공(일반),전남,영암군
141236,오포도서관,공공(일반),경기,광주시
143020,옥산도서관,공공(일반),충북,청주시
128105,용비도서관,공공(일반),인천,미추홀구
126171,우암도서관,공공(일반),부산,남구
131080,울산도서관,공공(일반),울산,남구
148018,울주도서관,공공(일반),울산,울주군
142049,원통도서관,공공(일반),강원,인제군
111085,월계도서관,공공(일반),서울,노원구
141199,월곶도서관,공공(일반),경기,시흥시
141614,월롱도서관,공공(일반),경기,파주시
130028,월평도서관,공공(일반),대전,서구
125007,유성도서관,공공(일반),대전,유성구
128111,임학도서관,공공(일반),인천,계양구
130008,자양도서관,공공(일반),대전,동구
128039,작전도서관,공공(일반),인천,계양구
111140,잠원도서관,공공(일반),서울,서초구
129190,장덕도서관,공공(일반),광주,광산구
148042,장유도서관,공공(일반),경남,김해시
141242,적성도서관,공공(일반),경기,파주시
130031,전민도서관,공공(일반),대전,유성구
141586,점동도서관,공공(일반),경기,여주시
126144,정관도서관,공공(일반),부산,기장군
111380,정릉도서관,공공(일반),서울,성북구
144119,정산도서관,공공(일반),충남,청양군
149010,제남도서관,공공(일반),제주,서귀포시
149004,제주도서관,공공(일반),제주,제주시
141251,조리도서관,공공(일반),경기,파주시
111192,조원도서관,공공(일반),서울,관악구
144169,죽정도서관,공공(일반),충남,보령시
129226,중흥도서관,공공(일반),광주,북구
126161,지사도서관,공공(일반),부산,강서구
144168,진산도서관,공공(일반),충남,금산군
130010,진잠도서관,공공(일반),대전,유성구
148023,진해도서관,공공(일반),경남,창원시
146075,철마도서관,공공(일반),전남,진도군
141405,철산도서관,공공(일반),경기,광명시
142074,철암도서관,공공(일반),강원,태백시
129002,첨단도서관,공공(일반),광주,광산구
111069,청담도서관,공공(일반),서울,강남구
111437,청수도서관,공공(일반),서울,성북구
128085,청천도서관,공공(일반),인천,부평구
111120,청파도서관,공공(일반),서울,용산구
141512,초월도서관,공공(일반),경기,광주시
144068,추부도서관,공공(일반),충남,금산군
144173,충남도서관,공공(일반),충남,홍성군
148039,칠암도서관,공공(일반),경남,김해시
147052,칠평도서관,공공(일반),경북,경주시
141566,탄현도서관,공공(일반),경기,파주시
149005,탐라도서관,공공(일반),제주,제주시
142058,태장도서관,공공(일반),강원,원주시
141653,퇴촌도서관,공공(일반),경기,광주시
141602,파평도서관,공공(일반),경기,파주시
149018,표선도서관,공공(일반),제주,서귀포시
111215,하늘도서관,공공(일반),서울,구로구
126168,하단도서관,공공(일반),부산,사하구
149016,한경도서관,공공(일반),제주,제주시
141517,한빛도서관,공공(일반),경기,파주시
141604,한울도서관,공공(일반),경기,파주시
141144,해밀도서관,공공(일반),경기,부천시
141326,해솔도서관,공공(일반),경기,파주시
130009,홍도도서관,공공(일반),대전,동구
141071,화도도서관,공공(일반),경기,남양주시
111239,화랑도서관,공공(일반),서울,노원구
126025,화명도서관,공공(일반),부산,북구
148055,화전도서관,공공(일반),경남,남해군
128013,효성도서관,공공(일반),인천,계양구
141655,흥천도서관,공공(일반),경기,여주시
111456,가락몰도서관,공공(일반),서울,송파구
125010,가수원도서관,공공(일반),대전,서구
141597,가재울도서관,공공(일반),경기,의정부시
146001,강진군도서관,공공(일반),전남,강진군
150004,고운동도서관,공공(일반),세종,세종시
141235,곤지암도서관,공공(일반),경기,광주시
111378,곰달래도서관,공공(일반),서울,강서구
127009,구수산도서관,공공(일반),대구,북구
111521,군자동도서관,공공(일반),서울,광진구
111502,김영삼도서관,공공(일반),서울,동작구
111516,까망돌도서관,공공(일반),서울,동작구
111100,꿈마을도서관,공공(일반),서울,구로구
148038,꿈이랑도서관,공공(일반),경남,통영시
150015,나성동도서관,공공(일반),세종,세종시
150011,다정동도서관,공공(일반),세종,세종시
150007,대평동도서관,공공(일반),세종,세종시
150001,도담동도서관,공공(일반),세종,세종시
111448,돌마리도서관,공공(일반),서울,송파구
141489,물푸레도서관,공공(일반),경기,파주시
142118,미리내도서관,공공(일반),강원,원주시
150014,반곡동도서관,공공(일반),세종,세종시
150005,보람동도서관,공공(일반),세종,세종시
147057,북울진도서관,공공(일반),경북,울진군
341147,사랑샘도서관,공공(일반),경기,수원시
141662,상록수도서관,공공(일반),경기,안산시
150008,새롬동도서관,공공(일반),세종,세종시
142123,샘마루도서관,공공(일반),강원,원주시
149001,서귀포도서관,공공(일반),제주,서귀포시
143135,서충주도서관,공공(일반),충북,충주시
150010,소담동도서관,공공(일반),세종,세종시
141610,소리울도서관,공공(일반),경기,오산시
121024,수영구도서관,공공(일반),부산,수영구
141630,술이홀도서관,공공(일반),경기,파주시
130029,아가랑도서관,공공(일반),대전,유성구
150002,아름동도서관,공공(일반),세종,세종시
111048,아리랑도서관,공공(일반),서울,성북구
131076,약숫골도서관,공공(일반),울산,중구
111220,어울림도서관,공공(일반),서울,중구
141667,오르빛도서관,공공(일반),경기,동두천시
143094,올누림도서관,공공(일반),충북,단양군
127098,원고개도서관,공공(일반),대구,서구
141508,원고잔도서관,공공(일반),경기,안산시
130026,원신흥도서관,공공(일반),대전,유성구
146072,정남진도서관,공공(일반),전남,장흥군
111073,정다운도서관,공공(일반),서울,강남구
143007,제천학생회관,공공(일반),충북,제천시
149014,조천읍도서관,공공(일반),제주,제주시
150003,종촌동도서관,공공(일반),세종,세종시
111056,즐거운도서관,공공(일반),서울,강남구
129231,책정원도서관,공공(일반),광주,동구
148319,최윤덕도서관,공공(일반),경남,창원시
141401,퇴계원도서관,공공(일반),경기,남양주시
128009,학나래도서관,공공(일반),인천,미추홀구
111129,학마을도서관,공공(일반),서울,도봉구
144146,한솔동도서관,공공(일반),세종,세종시
149007,한수풀도서관,공공(일반),제주,제주시
128099,해돋이도서관,공공(일반),인천,연수구
150013,해밀동도서관,공공(일반),세종,세종시
141588,해오름도서관,공공(일반),경기,성남시
111075,행복한도서관,공공(일반),서울,강남구
141107,희망샘도서관,공공(일반),경기,수원시
127104,New평리도서관,공공(일반),대구,서구
131001,농소1동도서관,공공(일반),울산,북구
111441,아름꿈 도서관,공공(일반),서울,종로구
131084,강동바다도서관,공공(일반),울산,북구
142001,강릉교육문화관,공공(일반),강원,강릉시
111373,강서영어도서관,공공(일반),서울,강서구
123008,강화군립도서관,공공(일반),인천,강화군
111240,개울건강도서관,공공(일반),서울,양천구
148308,경남대표도서관,공공(일반),경남,창원시
147001,경산시립도서관,공공(일반),경북,경산시
147025,경주시립도서관,공공(일반),경북,경주시
147026,경주중앙도서관,공공(일반),경북,경주시
142003,고성교육도서관,공공(일반),강원,고성군
142029,고성군립도서관,공공(일반),강원,고성군
148053,고성동부도서관,공공(일반),경남,고성군
150009,고운남측도서관,공공(일반),세종,세종시
145052,고창군립도서관,공공(일반),전북,고창군
111532,고척열린도서관,공공(일반),서울,구로구
148052,고향의봄도서관,공공(일반),경남,창원시
146035,고흥군립도서관,공공(일반),전남,고흥군
111045,관악중앙도서관,공공(일반),서울,관악구
146176,관옥나무도서관,공공(일반),전남,순천시
146185,광양광영도서관,공공(일반),전남,광양시
146181,광양금호도서관,공공(일반),전남,광양시
146049,광양용강도서관,공공(일반),전남,광양시
146050,광양중마도서관,공공(일반),전남,광양시
146024,광양중앙도서관,공공(일반),전남,광양시
111036,광진정보도서관,공공(일반),서울,광진구
144033,광천공공도서관,공공(일반),충남,홍성군
143001,괴산교육도서관,공공(일반),충북,괴산군
111539,구로미래도서관,공공(일반),서울,구로구
111126,구립상림도서관,공공(일반),서울,은평구
145002,군산시립도서관,공공(일반),전북,군산시
111062,글빛정보도서관,공공(일반),서울,관악구
143017,금왕교육도서관,공공(일반),충북,음성군
146048,금일공공도서관,공공(일반),전남,완도군
145026,김제시립도서관,공공(일반),전북,김제시
147027,김천시립도서관,공공(일반),경북,김천시
148309,김해율하도서관,공공(일반),경남,김해시
146030,나주시립도서관,공공(일반),전남,나주시
128112,남동논현도서관,공공(일반),인천,남동구
145050,남원시립도서관,공공(일반),전북,남원시
126160,내리새라도서관,공공(일반),부산,기장군
111058,노원중앙도서관,공공(일반),서울,노원구
146031,노화공공도서관,공공(일반),전남,완도군
144022,논산강경도서관,공공(일반),충남,논산시
144031,논산연무도서관,공공(일반),충남,논산시
144178,논산열린도서관,공공(일반),충남,논산시
126176,느티나무도서관,공공(일반),부산,해운대구
141083,느티나무도서관,공공(일반),경기,용인시
111513,다산성곽도서관,공공(일반),서울,중구
143002,단양교육도서관,공공(일반),충북,단양군
111302,달빛마루도서관,공공(일반),서울,성북구
127099,달서영어도서관,공공(일반),대구,달서구
127081,달성군립도서관,공공(일반),대구,달성군
126146,동래읍성도서관,공공(일반),부산,동래구
127101,동일공공도서관,공공(일반),대구,동구
128108,동춘나래도서관,공공(일반),인천,연수구
142089,동해교육도서관,공공(일반),강원,동해시
142108,둔내태성도서관,공공(일반),강원,횡성군
111528,라이브러리피치,공공(일반),서울,종로구
148043,마산합포도서관,공공(일반),경남,창원시
148013,마산회원도서관,공공(일반),경남,창원시
111467,마포중앙도서관,공공(일반),서울,마포구
126031,맨발동무도서관,공공(일반),부산,북구
111483,명성교회도서관,공공(일반),서울,강동구
142006,명주교육도서관,공공(일반),강원,강릉시
111242,목마교육도서관,공공(일반),서울,양천구
146009,목포시립도서관,공공(일반),전남,목포시
146173,목포영어도서관,공공(일반),전남,목포시
146043,무안군립도서관,공공(일반),전남,무안군
142007,문막교육도서관,공공(일반),강원,원주시
124009,문화의숲도서관,공공(일반),광주,서구
143010,미원교육도서관,공공(일반),충북,청주시
148008,밀양시립도서관,공공(일반),경남,밀양시
142126,별빛나루도서관,공공(일반),강원,홍천군
144028,보령시립도서관,공공(일반),충남,보령시
144035,보령주산도서관,공공(일반),충남,보령시
111535,보문숲길도서관,공공(일반),서울,성북구
143003,보은교육도서관,공공(일반),충북,보은군
143137,보은군립도서관,공공(일반),충북,보은군
121020,부산강서도서관,공공(일반),부산,강서구
126014,부산영어도서관,공공(일반),부산,부산진구
145031,부안군립도서관,공공(일반),전북,부안군
111439,사당솔밭도서관,공공(일반),서울,동작구
142035,사북공공도서관,공공(일반),강원,정선군
148322,사천시립도서관,공공(일반),경남,사천시
142008,삼척교육문화관,공공(일반),강원,삼척시
142031,삼척도계도서관,공공(일반),강원,삼척시
142032,삼척원덕도서관,공공(일반),강원,삼척시
144029,삽교공공도서관,공공(일반),충남,예산군
147175,상주시립도서관,공공(일반),경북,상주시
127095,서구영어도서관,공공(일반),대구,서구
129230,서빛마루도서관,공공(일반),광주,서구
144025,서산시립도서관,공공(일반),충남,서산시
128104,선학별빛도서관,공공(일반),인천,연수구
111035,성동구립도서관,공공(일반),서울,성동구
111492,성북길빛도서관,공공(일반),서울,성북구
111044,성북정보도서관,공공(일반),서울,성북구
149012,성산일출도서관,공공(일반),제주,서귀포시
150012,세종시립도서관,공공(일반),세종,세종시
142010,속초교육도서관,공공(일반),강원,속초시
142009,속초교육문화관,공공(일반),강원,속초시
142106,속초시립도서관,공공(일반),강원,속초시
111472,송파위례도서관,공공(일반),서울,송파구
145140,순창군립도서관,공공(일반),전북,순창군
111511,신당누리도서관,공공(일반),서울,중구
146032,신안군립도서관,공공(일반),전남,신안군
111081,신월음악도서관,공공(일반),서울,양천구
111496,쌍문채움도서관,공공(일반),서울,도봉구
149015,안덕산방도서관,공공(일반),제주,서귀포시
126153,안락누리도서관,공공(일반),부산,동래구
141099,안산중앙도서관,공공(일반),경기,안산시
142011,양구교육도서관,공공(일반),강원,양구군
142012,양양교육도서관,공공(일반),강원,양양군
111478,양원숲속도서관,공공(일반),서울,중랑구
141558,양주희망도서관,공공(일반),경기,양주시
111504,양천중앙도서관,공공(일반),서울,양천구
141128,양평용문도서관,공공(일반),경기,양평군
143121,엄정꿈터도서관,공공(일반),충북,충주시
111444,여의샛강도서관,공공(일반),서울,영등포구
128115,연수꿈담도서관,공공(일반),인천,연수구
128058,연수청학도서관,공공(일반),인천,연수구
131019,염포양정도서관,공공(일반),울산,북구
146027,영광군립도서관,공공(일반),전남,영광군
143004,영동교육도서관,공공(일반),충북,영동군
142013,영월교육도서관,공공(일반),강원,영월군
142044,영월주천도서관,공공(일반),강원,영월군
147054,영주시립도서관,공공(일반),경북,영주시
147176,영주하망도서관,공공(일반),경북,영주시
